text,mentions,affect,commitment_label,weight
皆さん、今日は0日目なので、まずは自己紹介をして、どんな役職か確認し合いましょう！まずは、@アヤさん,null,P3,,
@アヤさん、自己紹介をお願いします。あなたの役職についても教えてください。,null,P3,,
@アヤさん、自己紹介をお願いします。あなたの役職についても教えてください。,null,P3,,
@アヤさん、自己紹介をお願いします！あなたの役職についても教えてね！,null,P3,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんが待っています！自己紹介とあなたの役職についてお話ししていただけますか？,null,P3,,
@アヤさん、自己紹介をお願いします。あなたの役職についても教えてください。,null,P3,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、まだ自己紹介が聞けていないので、ぜひお話ししてもらえますか？あなたの役職についても教えて,null,P3,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんが待っています！自己紹介とあなたの役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんからのリクエストが多いですが、ぜひ自己紹介と役職についてお話ししていただけますか？,null,P2,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんが待っているので、自己紹介と役職についてお話ししていただけませんか？,null,P3,,
@アヤさん、皆さんが興味津々のようです。自己紹介と役職についてお話ししていただけますか？,null,P4,,
@アヤさん、皆さんがとても興味を持っています！自己紹介と役職についてお話ししていただけますか？,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、まだ自己紹介と役職についてお話ししていないみたいですね！ぜひ、教えてください！,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、まだ皆さんからの自己紹介を聞いていないようです。ぜひ、あなたの役職について教えてください,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、みんながあなたの自己紹介を待っていますよ！ぜひ、教えてくださいね！,null,P3,,
@アヤさん、皆さんがあなたの自己紹介を楽しみにしています！ぜひ、役職についてもお話ししてもらえますか,null,P4,,
@アヤさん、皆さんがあなたの自己紹介を待っています。ぜひ、お話ししていただけますか？あなたの役職につ,null,P3,,
@アヤさん、皆さんがあなたの自己紹介を待っています。ぜひ、役職について教えてください。,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、みんながあなたの自己紹介と役職について本当に楽しみにしています！お話ししてくれると嬉しい,null,P5,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています！どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職について待っています。ぜひ、お話ししていただけますか？,null,P3,,
@アヤさん、皆さんがあなたの自己紹介を待っています。ぜひ、役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、まだお話ししていないようですが、自己紹介と役職について教えてもらえますか？みんなが聞きた,null,P3,,
